Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
237.5,237.5,0,228,0,932,594,7,26.258.003.984
380,95,0,228,0,932,594,7,32.823.194.456
332.5,142.5,0,228,0,932,594,180,39.779.317.819.999.900
190,190,0,228,,932,670,180,46.931.941.843.999.900
237.5,237.5,0,228,0,932,594,90,33.116.911.232
304,76,0,228,0,932,670,90,49.185.149.411.999.900
139.6,209.4,0,192,0,1047,806.9,7,14.589.312.159.999.900
198.6,132.4,0,192,0,978.4,825.5,,14.638.264.955.999.900
475,0,0,228,0,932,594,365,41.934.619.796
198.6,132.4,0,192,0,978.4,825.5,3,9.131.420.144
304,76,0,228,0,932,670,180,5.094.882.902
332.5,142.5,0,228,0,932,594,28,33.019.005.639.999.900
304,76,0,228,0,932,670,270,54.378.282.643.999.900
266,114,0,228,0,932,670,270,51.732.763.231.999.900
310,0,0,192,0,971,850.6,3,986.640.156
190,190,0,228,0,932,670,270,50.655.112.243.999.900
266,114,0,228,0,932,670,,48.695.621.452
342,38,0,228,0,932,670,270,55.064.311.264
139.6,209.4,0,192,0,1047,806.9,360,44.698.039.603.999.900
332.5,142.5,0,228,0,932,594,7,30.275.580.636
190,190,0,228,0,932,670,28,40.856.968.808
485,0,0,146,0,1120,800,28,7.198.818.916
374,189.2,0,170.1,10.1,926.1,756.7,3,3.439.795.764
313.3,262.2,0,175.5,8.6,1046.9,611.8,,2.879.941.252
425,106.3,0,153.5,16.5,852.1,887.1,3,33.398.217.439.999.900
425,106.3,0,151.4,18.6,936,803.7,3,363.009.114
375,93.8,0,126.6,23.4,852.1,992.6,3,2.899.936.056
475,118.8,0,181.1,8.9,852.1,781.5,,3.779.707.432
469,117.2,0,137.8,32.2,852.1,840.5,3,401.964.508
425,106.3,0,153.5,16.5,852.1,887.1,3,33.398.217.439.999.900
388.6,97.1,0,157.9,12.1,852.1,925.7,,28.096.147
531.3,0,0,141.8,28.2,852.1,893.7,,412.996.124
425,106.3,0,153.5,16.5,852.1,887.1,3,33.398.217.439.999.900
318.8,212.5,0,155.7,14.3,852.1,880.4,3,252.003.478
401.8,94.7,0,147.4,11.4,946.8,852.1,,4.109.966.436
362.6,189,0,164.9,11.6,944.7,755.8,3,353.011.712
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.296.095.039.999.900
379.5,151.2,0,153.9,15.9,1134.3,605,,28.599.464.479.999.900
362.6,189,0,164.9,11.6,944.7,755.8,3,353.011.712
286.3,200.9,0,144.7,11.2,1004.6,803.7,,2.440.055.564
362.6,189,0,164.9,11.6,944.7,755.8,3,353.011.712
439,177,0,186,11.1,884.9,707.9,3,39.300.132
389.9,189,0,145.9,22,944.7,755.8,3,4.059.634.688
362.6,189,0,164.9,11.6,944.7,755.8,3,353.011.712
337.9,189,0,174.9,9.5,944.7,755.8,3,240.971.862
374,189.2,0,170.1,10.1,926.1,756.7,7,4.620.178.676
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,4.279.577.532
425,106.3,0,153.5,16.5,852.1,887.1,7,4.920.100.736
425,106.3,0,151.4,18.6,936,803.7,7,4.680.163.088
375,93.8,0,126.6,23.4,852.1,992.6,7,4.569.846.928
475,118.8,0,181.1,8.9,852.1,781.5,7,5.559.934.464
469,117.2,0,137.8,32.2,852.1,840.5,,54.896.079.119.999.900
425,106.3,0,153.5,16.5,852.1,887.1,7,4.920.100.736
388.6,97.1,0,157.9,12.1,852.1,925.7,7,3.490.127.512
531.3,0,0,141.8,28.2,852.1,893.7,7,4.689.815.752
425,106.3,0,153.5,16.5,852.1,887.1,7,4.920.100.736
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.398.217.439.999.900
401.8,94.7,0,147.4,11.4,946.8,852.1,,5.409.628.696
362.6,189,0,164.9,11.6,944.7,755.8,7,5.589.581.932
323.7,282.8,0,183.8,10.3,942.7,659.9,7,4.980.085.148
379.5,151.2,0,153.9,15.9,1134.3,605,7,4.709.810.556
362.6,189,0,164.9,11.6,944.7,755.8,7,5.589.581.932
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,37.997.022.359.999.900
362.6,189,0,164.9,11.6,944.7,755.8,,5.589.581.932
439,177,0,186,11.1,884.9,707.9,7,56.095.767.359.999.900
389.9,189,0,145.9,22,944.7,755.8,7,5.909.498.796
362.6,189,0,164.9,11.6,944.7,755.8,7,2.289.749.796
337.9,189,0,174.9,9.5,944.7,755.8,7,35.101.223.159.999.900
374,189.2,0,170.1,10.1,926.1,756.7,28,6.109.446.836
313.3,262.2,0,175.5,8.6,1046.9,611.8,,5.979.825.348
425,106.3,0,153.5,16.5,852.1,887.1,28,602.946.762
425,106.3,0,151.4,18.6,936,803.7,,61.797.733.879.999.900
375,93.8,0,126.6,23.4,852.1,992.6,,5.669.561.148
475,118.8,0,181.1,8.9,852.1,781.5,28,6.829.949.256
469,117.2,0,137.8,32.2,852.1,840.5,28,6.689.985.628
425,106.3,0,153.5,16.5,852.1,887.1,,602.946.762
388.6,97.1,0,157.9,12.1,852.1,925.7,28,5.069.717.028
531.3,0,0,141.8,28.2,852.1,893.7,28,563.991.368
425,106.3,0,153.5,16.5,852.1,887.1,28,602.946.762
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.495.923.239.999.900
401.8,94.7,0,147.4,11.4,946.8,852.1,28,684.994.406
362.6,189,0,164.9,11.6,944.7,755.8,28,7.129.871.315.999.990
323.7,282.8,0,183.8,10.3,942.7,659.9,28,7.469.782.984
379.5,151.2,0,153.9,15.9,1134.3,605,28,5.220.022.796
362.6,189,0,164.9,11.6,944.7,755.8,28,7.129.871.315.999.990
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,6.769.964.844
362.6,189,0,164.9,11.6,944.7,755.8,28,7.129.871.315.999.990
439,177,0,186,11.1,884.9,707.9,28,6.599.664.272
389.9,189,0,145.9,22,944.7,755.8,28,744.978.818
362.6,189,0,164.9,11.6,944.7,755.8,28,7.129.871.315.999.990
337.9,189,0,174.9,9.5,944.7,755.8,28,4.989.737.812
374,189.2,0,170.1,10.1,926.1,756.7,56,633.973.182
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,6.490.037.588
425,106.3,0,153.5,16.5,852.1,887.1,56,6.430.053.176
425,106.3,0,151.4,18.6,936,803.7,56,6.490.037.588
375,93.8,0,126.6,23.4,852.1,992.6,56,6.019.814.956
475,118.8,0,181.1,8.9,852.1,781.5,56,7.229.845.336
469,117.2,0,137.8,32.2,852.1,840.5,56,6.929.923.276
425,106.3,0,153.5,16.5,852.1,887.1,56,6.430.053.176
388.6,97.1,0,157.9,12.1,852.1,925.7,56,5.519.944.856
531.3,0,0,141.8,28.2,852.1,893.7,56,58.798.513.279.999.900
425,106.3,0,153.5,16.5,852.1,887.1,56,6.430.053.176
318.8,212.5,0,155.7,14.3,852.1,880.4,56,6.610.006.412
401.8,94.7,0,147.4,11.4,946.8,852.1,56,7.369.808.963.999.990
362.6,189,0,164.9,11.6,944.7,755.8,56,7.729.715.436
323.7,282.8,0,183.8,10.3,942.7,659.9,56,8.019.984.832
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.896.079.119.999.900
362.6,189,0,164.9,11.6,944.7,755.8,56,7.729.715.436
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,7.299.482.412
362.6,189,0,164.9,11.6,944.7,755.8,56,7.729.715.436
439,177,0,186,11.1,884.9,707.9,56,7.169.860.924
389.9,189,0,145.9,22,944.7,755.8,56,7.940.005.615.999.990
362.6,189,0,164.9,11.6,944.7,755.8,56,7.729.715.436
337.9,189,0,174.9,9.5,944.7,755.8,56,5.989.478.012
374,189.2,0,170.1,10.1,926.1,756.7,91,6.490.037.588
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,6.659.648.684
425,106.3,0,153.5,16.5,852.1,887.1,91,6.519.685.056
425,106.3,0,151.4,18.6,936,803.7,91,6.669.990.824
375,93.8,0,126.6,23.4,852.1,992.6,91,625.009.994
475,118.8,0,181.1,8.9,852.1,781.5,91,7.419.451.236
469,117.2,0,137.8,32.2,852.1,840.5,91,7.069.886.903.999.990
425,106.3,0,153.5,16.5,852.1,887.1,91,6.519.685.056
388.6,97.1,0,157.9,12.1,852.1,925.7,91,5.759.882.504
531.3,0,0,141.8,28.2,852.1,893.7,91,5.919.840.936
425,106.3,0,153.5,16.5,852.1,887.1,91,6.519.685.056
318.8,212.5,0,155.7,14.3,852.1,880.4,91,6.809.954.452
401.8,94.7,0,147.4,11.4,946.8,852.1,91,7.549.762.199.999.990
362.6,189,0,164.9,11.6,944.7,755.8,91,7.929.663.476
379.5,151.2,0,153.9,15.9,1134.3,605,91,5.649.566.344
362.6,189,0,164.9,11.6,944.7,755.8,91,7.929.663.476
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,7.680.073.164
362.6,189,0,164.9,11.6,944.7,755.8,91,7.929.663.476
439,177,0,186,11.1,884.9,707.9,91,7.329.819.356
389.9,189,0,145.9,22,944.7,755.8,91,825.992.248
362.6,189,0,164.9,11.6,944.7,755.8,91,7.929.663.476
337.9,189,0,174.9,9.5,944.7,755.8,91,6.779.617.508
222.36,0,96.67,189.29,4.46,967.08,870.32,3,1.157.630.204
222.36,0,96.67,189.29,4.46,967.08,870.32,14,2.444.881.896
222.36,0,96.67,189.29,4.46,967.08,870.32,28,248.900.836
222.36,0,96.67,189.29,4.46,967.08,870.32,56,29.447.519.959.999.900
222.36,0,96.67,189.29,4.46,967.08,870.32,100,407.135.578
233.81,0,94.58,197.89,4.567,947.04,852.16,3,1.038.350.856
233.81,0,94.58,197.89,4.567,947.04,852.16,14,2.213.907.436
233.81,0,94.58,197.89,4.567,947.04,852.16,28,2.283.544.512
233.81,0,94.58,197.89,4.567,947.04,852.16,56,2.766.177.712
233.81,0,94.58,197.89,4.567,947.04,852.16,100,3.455.653.712
194.68,0,100.52,165.62,7.48,1006.4,905.9,3,1.245.193.656
194.68,0,100.52,165.62,7.48,1006.4,905.9,14,24.986.610.239.999.900
194.68,0,100.52,165.62,7.48,1006.4,905.9,28,2.572.434.956
194.68,0,100.52,165.62,7.48,1006.4,905.9,56,33.963.587.759.999.900
194.68,0,100.52,165.62,7.48,1006.4,905.9,100,3.734.202.016
190.68,0,125.4,162.14,7.77,1090,804.01,3,1.504.436.632
190.68,0,125.4,162.14,7.77,1090,804.01,14,21.063.491.799.999.900
190.68,0,125.4,162.14,7.77,1090,804.01,28,2.640.003.604
190.68,0,125.4,162.14,7.77,1090,804.01,56,3.534.253.976
190.68,0,125.4,162.14,7.77,1090,804.01,100,4.056.876.784
212.07,0,121.62,180.31,5.69,1057.6,779.32,3,1.247.262.084
212.07,0,121.62,180.31,5.69,1057.6,779.32,14,2.091.870.184
212.07,0,121.62,180.31,5.69,1057.6,779.32,28,2.490.387.312
212.07,0,121.62,180.31,5.69,1057.6,779.32,56,3.420.490.436
212.07,0,121.62,180.31,5.69,1057.6,779.32,100,396.103.962
229.97,0,118.31,195.47,4.63,1029.4,758.59,3,100.318.758
229.97,0,118.31,195.47,4.63,1029.4,758.59,14,2.008.443.588
229.97,0,118.31,195.47,4.63,1029.4,758.59,28,24.483.292.759.999.900
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,3.153.663.224
229.97,0,118.31,195.47,4.63,1029.4,758.59,100,3.534.253.976
190.34,0,125.18,161.85,9.88,1088.1,802.59,3,94.458.212
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.718.234.199.999.900
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,2.846.846.404
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,3.856.239.268
190.34,0,125.18,161.85,9.88,1088.1,802.59,100,4.038.950.408
166.09,0,163.27,176.46,4.49,1058.6,780.09,3,1.076.272.036
166.09,0,163.27,176.46,4.49,1058.6,780.09,14,2.548.303.296
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,2.153.923.024
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,2.862.704.352
166.09,0,163.27,176.46,4.49,1058.6,780.09,100,335.430.074
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,774.971.024
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,178.229.546
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,2.424.197.616
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,328.535.314
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,392.311.844
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,179.953.236
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,3.038.520.732
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,4.570.536.404
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,5.077.301.264
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,5.390.323.368
213.76,98.06,24.52,181.74,6.65,1066,785.52,3,1.318.278.112
213.76,98.06,24.52,181.74,6.65,1066,785.52,14,1.783.674.412
213.76,98.06,24.52,181.74,6.65,1066,785.52,28,402.309.246
213.76,98.06,24.52,181.74,6.65,1066,785.52,56,4.713.257.936
213.76,98.06,24.52,181.74,6.65,1066,785.52,100,49.973.220.479.999.900
229.68,0,118.16,195.23,6.13,1028.1,757.63,3,1.335.515.012
229.68,0,118.16,195.23,6.13,1028.1,757.63,14,2.231.833.812
229.68,0,118.16,195.23,6.13,1028.1,757.63,28,2.453.845.084
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,3.135.047.372
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,4.085.834.776
238.05,0,94.11,186.66,7,949.91,847.01,3,1.993.275.116
238.05,0,94.11,186.66,7,949.91,847.01,14,2.568.987.576
238.05,0,94.11,186.66,7,949.91,847.01,28,302.335.226
238.05,0,94.11,186.66,7,949.91,847.01,56,3.958.971.192
238.05,0,94.11,186.66,7,949.91,847.01,100,44.298.833
250,0,95.69,187.42,5.53,956.86,861.17,3,13.817.099.039.999.900
250,0,95.69,187.42,5.53,956.86,861.17,14,2.491.766.264
250,0,95.69,187.42,5.53,956.86,861.17,28,2.921.999.288
250,0,95.69,187.42,5.53,956.86,861.17,56,3.832.797.084
250,0,95.69,187.42,5.53,956.86,861.17,100,42.347.615.919.999.900
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,1.354.130.864
212.52,0,100.37,159.32,8.71,1007.8,903.59,14,26.310.404.159.999.900
212.52,0,100.37,159.32,8.71,1007.8,903.59,28,31.640.053.639.999.900
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,4.254.756.396
212.52,0,100.37,159.32,8.71,1007.8,903.59,100,42.919.881
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,1.333.446.584
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,253.727.168
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404.073
212.57,0,100.39,159.35,10.37,1003.8,903.79,56,44.395.359.639.999.900
212.57,0,100.39,159.35,10.37,1003.8,903.79,100,47.739.318.239.999.900
212,0,124.78,159,7.84,1085.4,799.54,3,19.519.065.559.999.900
212,0,124.78,159,7.84,1085.4,799.54,14,3.135.047.372
212,0,124.78,159,7.84,1085.4,799.54,28,38.500.339.839.999.900
212,0,124.78,159,7.84,1085.4,799.54,56,4.508.483.564
212,0,124.78,159,7.84,1085.4,799.54,100,478.151.606
231.75,0,121.62,173.96,6.72,1056.4,778.45,3,1.543.736.764
231.75,0,121.62,173.96,6.72,1056.4,778.45,14,2.677.235.308
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,3.372.916.592
231.75,0,121.62,173.96,6.72,1056.4,778.45,56,4.269.924.868
231.75,0,121.62,173.96,6.72,1056.4,778.45,100,4.583.636.448
251.37,0,118.27,188.45,5.75,1028.4,757.73,3,1.722.311.048
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,2.993.015.316
251.37,0,118.27,188.45,5.75,1028.4,757.73,28,29.654.362.759.999.900
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,3.696.970.312
251.37,0,118.27,188.45,5.75,1028.4,757.73,100,4.358.177.796
251.37,0,118.27,188.45,6.35,1028.4,757.73,3,1.312.072.828
251.37,0,118.27,188.45,6.35,1028.4,757.73,14,2.442.813.468
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,3.266.047.812
251.37,0,118.27,188.45,6.35,1028.4,757.73,56,3.663.875.464
251.37,0,118.27,188.45,6.35,1028.4,757.73,100,44.209.201.119.999.900
181.38,0,167.01,169.59,7.56,1055.6,777.8,3,1.362.404.576
181.38,0,167.01,169.59,7.56,1055.6,777.8,14,21.601.283.079.999.900
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,2.777.209.328
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.570.066.839.999.900
181.38,0,167.01,169.59,7.56,1055.6,777.8,100,453.675.208
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,73.153.403.599.999.900
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.504.756.439.999.900
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,312.677.366
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,4.349.904.084
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,4.867.011.084
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,73.980.774.799.999.900
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,235.111.316
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,3.111.605.188
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,3.914.844.728
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,4.815.300.384
290.35,0,96.18,168.08,9.41,961.18,865,3,2.250.449.664
290.35,0,96.18,168.08,9.41,961.18,865,14,3.467.374.804
290.35,0,96.18,168.08,9.41,961.18,865,28,3.473.580.088
290.35,0,96.18,168.08,9.41,961.18,865,56,4.508.483.564
290.35,0,96.18,168.08,9.41,961.18,865,100,4.897.348.028
277.05,0,97.39,160.6,11.83,973.9,875.61,3,2.313.881.456
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885.667
277.05,0,97.39,160.6,11.83,973.9,875.61,28,4.828.400.428
277.05,0,97.39,160.6,11.83,973.9,875.61,56,5.103.501.352
277.05,0,97.39,160.6,11.83,973.9,875.61,100,556.407.132
295.71,0,95.64,171.54,8.87,955.14,859.2,3,2.294.576.128
295.71,0,95.64,171.54,8.87,955.14,859.2,14,352.322.236
295.71,0,95.64,171.54,8.87,955.14,859.2,28,3.994.134.468
295.71,0,95.64,171.54,8.87,955.14,859.2,56,48.718.374.159.999.900
295.71,0,95.64,171.54,8.87,955.14,859.2,100,5.204.164.848
251.81,0,99.94,146.14,12.35,1006,899.76,3,2.102.212.324
251.81,0,99.94,146.14,12.35,1006,899.76,14,3.335.684.888
251.81,0,99.94,146.14,12.35,1006,899.76,28,3.394.290.348
251.81,0,99.94,146.14,12.35,1006,899.76,56,4.414.025.352
251.81,0,99.94,146.14,12.35,1006,899.76,100,453.675.208
249.1,0,98.75,158.11,12.8,987.76,889.01,3,15.361.525.279.999.900
249.1,0,98.75,158.11,12.8,987.76,889.01,14,286.822.016
249.1,0,98.75,158.11,12.8,987.76,889.01,28,3.084.715.624
249.1,0,98.75,158.11,12.8,987.76,889.01,56,42.030.456.959.999.900
249.1,0,98.75,158.11,12.8,987.76,889.01,100,510.556.978
252.31,0,98.75,146.25,14.17,987.76,889.01,3,2.178.054.684
252.31,0,98.75,146.25,14.17,987.76,889.01,14,4.229.245.784
252.31,0,98.75,146.25,14.17,987.76,889.01,28,5.060.064.364
252.31,0,98.75,146.25,14.17,987.76,889.01,56,5.582.687.172
252.31,0,98.75,146.25,14.17,987.76,889.01,100,60.949.678.399.999.900
246.83,0,125.08,143.3,11.99,1086.8,800.89,3,2.352.492.112
246.83,0,125.08,143.3,11.99,1086.8,800.89,14,4.221.661.548
246.83,0,125.08,143.3,11.99,1086.8,800.89,28,525.035.974
246.83,0,125.08,143.3,11.99,1086.8,800.89,56,6.032.225.524
246.83,0,125.08,143.3,11.99,1086.8,800.89,100,6.642.411.784
275.07,0,121.35,159.48,9.9,1053.6,777.5,3,2.380.071.152
275.07,0,121.35,159.48,9.9,1053.6,777.5,14,3.876.923.548
275.07,0,121.35,159.48,9.9,1053.6,777.5,28,51.331.488.199.999.900
275.07,0,121.35,159.48,9.9,1053.6,777.5,56,56.847.296.199.999.900
275.07,0,121.35,159.48,9.9,1053.6,777.5,100,5.860.546
297.16,0,117.54,174.8,9.52,1022.8,753.45,3,2.191.154.728
297.16,0,117.54,174.8,9.52,1022.8,753.45,14,36.990.387.399.999.900
297.16,0,117.54,174.8,9.52,1022.8,753.45,28,47.401.475
297.16,0,117.54,174.8,9.52,1022.8,753.45,56,5.195.891.136
297.16,0,117.54,174.8,9.52,1022.8,753.45,100,567.438.748
213.74,0,174.74,154.79,10.16,1053.5,776.35,3,1.757.474.324
213.74,0,174.74,154.79,10.16,1053.5,776.35,14,3.372.916.592
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,4.014.818.748
213.74,0,174.74,154.79,10.16,1053.5,776.35,56,466.430.514
213.74,0,174.74,154.79,10.16,1053.5,776.35,100,5.007.664.188
213.5,0,174.24,154.61,11.66,1052.3,775.48,3,1.736.790.044
213.5,0,174.24,154.61,11.66,1052.3,775.48,14,3.370.158.688
213.5,0,174.24,154.61,11.66,1052.3,775.48,28,45.939.785.879.999.900
213.5,0,174.24,154.61,11.66,1052.3,775.48,56,514.349.096
213.5,0,174.24,154.61,11.66,1052.3,775.48,100,5.930.183.076
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3,3.044.726.016
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14,477.117.392
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,6.314.221.208
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,6.682.401.392
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,669.481.196
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,2.742.046.052
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14,359.561.734
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,5.550.971.276
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56,6.199.078.716
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.528.318.639.999.900
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3,1.801.600.788
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,3.860.376.124
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,5.220.022.796
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,5.395.839.176
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100,5.663.355.864
218.85,0,124.13,158.49,11.33,1078.7,794.91,3,15.340.841
218.85,0,124.13,158.49,11.33,1078.7,794.91,14,2.604.840.328
218.85,0,124.13,158.49,11.33,1078.7,794.91,28,30.219.733.079.999.900
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,372.661.778
218.85,0,124.13,158.49,11.33,1078.7,794.91,100,462.293.658
376,0,0,214.6,0,1003.5,762.36,3,1.627.852.836
376,0,0,214.6,0,1003.5,762.36,14,2.562.092.816
376,0,0,214.6,0,1003.5,762.36,28,31.971.002.119.999.900
376,0,0,214.6,0,1003.5,762.36,56,363.009.114
376,0,0,214.6,0,1003.5,762.36,100,430.577.762
500,0,0,140,4,966,853,28,67.568.648
475,0,59,142,1.9,1098,641,28,57.226.507.999.999.900
315,137,0,145,5.9,1130,745,28,8.175.116.932
505,0,60,195,0,1030,630,28,640.178.466
451,0,0,165,11.25,1030,745,28,7.880.021.203.999.990
516,0,0,162,8.2,801,802,28,4.136.856
520,0,0,170,5.2,855,855,28,60.280.886.679.999.900
528,0,0,185,6.86,920,720,28,5.683.350.668
520,0,0,175,5.2,870,805,28,51.021.224
385,0,136,158,20,903,768,28,5.555.108.132
500.1,0,0,200,3,1124.4,613.2,28,4.413.335.876
450.1,50,0,200,3,1124.4,613.2,28,3.937.597.436
397,17.2,158,167,20.8,967,633,28,55.647.607.959.999.900
333,17.5,163,167,17.9,996,652,28,4.727.736.932
334,17.6,158,189,15.3,967,633,28,4.432.641.204
405,0,0,175,0,1120,695,28,5.230.364.936
200,200,0,190,0,1145,660,28,49.249.270.679.999.900
516,0,0,162,8.26,801,802,28,4.136.856
145,116,119,184,5.7,833,880,28,2.915.794.004
